,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
111,42.2,0.9142539552342637,1.352114405358851,0.5143673598928497,0.362643185805986,1.1880458127031333,1.5478873158514854,2.315330052409052
112,42.4,0.9149596678498247,1.3568351744160607,0.5179653519406824,0.36605291202819945,1.1931330888685767,1.5587147646509873,2.302853107365697
113,42.6,0.915662593339561,1.3615673617112822,0.5215846322017293,0.36947830959872796,1.1982130968402587,1.5696062761375507,2.290482607511933
114,42.8,0.9163627295622396,1.366311168913383,0.5252254469369907,0.3729193797973851,1.2032858137764637,1.5805625913851786,2.2782169983006533
115,43.0,0.917060074385124,1.3710667990232703,0.5288880458137396,0.37637612414416743,1.2083512170432997,1.5915844617183827,2.2660547533716695
116,43.2,0.9177546256839811,1.3758344564160216,0.5325726819693067,0.37984854440503213,1.2134092842174273,1.6026726489041294,2.2539943738885837
117,43.4,0.9184463813430872,1.3806143468834042,0.5362796120762134,0.3833366425976097,1.2184599930886062,1.613827925347845,2.2420343878939786
118,43.6,0.9191353392552344,1.3854066776768472,0.5400090964087224,0.38684042099692206,1.22350332166218,1.625051074293688,2.230173349682276
119,43.8,0.9198214973217376,1.3902116575512289,0.5437613989111091,0.390359882141623,1.228539248162067,1.6363428900299974,2.218409839189123
120,44.0,0.9205048534524403,1.3950294968090742,0.5475367872673633,0.3938950288401122,1.2335677510335064,1.6477041780990473,2.206742461397498
121,44.2,0.9211854055657211,1.3998604073451875,0.5513355329723636,0.39744586417651995,1.2385888089455757,1.6591357555112303,2.1951698457599678
122,44.4,0.9218631515885005,1.404704602692319,0.5551579114050157,0.40101239151745016,1.2436024007944806,1.6706384509651544,2.183690645635683
123,44.6,0.9225380894562464,1.4095622980669633,0.5590042019026762,0.40459461451807055,1.2486085057059901,1.6822131050716067,2.1723035377431157
124,44.8,0.9232102171129809,1.4144337104163915,0.5628746878377523,0.4081925371291848,1.2536071030389093,1.6938605705840644,2.1610072216263365
125,45.0,0.9238795325112867,1.419319058465876,0.5667696566956871,0.4118061636036754,1.2585981723877264,1.705581712633377,2.1498004191360773
126,45.2,0.9245460336123131,1.4242185627669464,0.5706894001550191,0.415435498503554,1.2635816935858395,1.7173774089686882,2.1386818739238618
127,45.4,0.9252097183857821,1.4291324457463956,0.5746342141693254,0.4190805467071397,1.2685576467088395,1.7292485502040296,2.127650350949258
128,45.6,0.9258705848099948,1.4340609317558397,0.5786043990509224,0.42274131341605736,1.2735260120774603,1.7411960400702018,2.1167046360002044
129,45.8,0.9265286308718373,1.439004247122262,0.582600259556699,0.42641780416264163,1.2784867702609128,1.7532207956730688,2.1058435352253633
130,46.0,0.9271838545667874,1.443962620199527,0.5866221049761061,0.43011002481768834,1.283439902080439,1.7653237477583494,2.0950658746782373
131,46.2,0.92783625389892,1.4489362814203988,0.5906702492209603,0.4338179815978358,1.288385388612409,1.7775058409818627,2.0843704998733923
132,46.4,0.9284858268809135,1.4539254633497936,0.5947450109176889,0.43754168107359304,1.2933232111919573,1.7897680341871192,2.073756275353386
133,46.6,0.9291325715340562,1.458930400738825,0.5988467135016933,0.4412811301773365,1.2982533514165024,1.8021113006892902,2.0632220842667817
134,46.8,0.9297764858882513,1.4639513305798022,0.6029756853140005,0.4450363362114653,1.3031757911493094,1.8145366285660627,2.052766827956714
135,47.0,0.9304175679820246,1.4689884921622083,0.6071322597002652,0.4488073068567062,1.308090512523107,1.8270450209555653,2.0423894255596804
136,47.2,0.9310558158625283,1.474042127129887,0.6113167751123485,0.45259405018085896,1.3129974979440389,1.8396374963620497,2.0320888136140054
137,47.4,0.9316912275855489,1.4791124795389912,0.6155295752121525,0.45639657464728733,1.3178967300952251,1.8523150889683588,2.021863945678319
138,47.6,0.9323238012155122,1.4841997959174686,0.6197710089783898,0.4602148891242219,1.322788191941062,1.8650788489572325,2.011713791958765
139,47.8,0.932953534825489,1.4893043253250287,0.6240414308154637,0.4640490028933333,1.327671866730625,1.8779298428389573,2.001637338946135
140,48.0,0.9335804264972017,1.4944263194150516,0.6283412006657154,0.46789892565957514,1.3325477380022777,1.890869153789154,1.9916335890607215
141,48.2,0.9342044743210295,1.499566032497276,0.6326706841241246,0.47176466756062485,1.3374157895877101,1.903897881993946,1.981701560306278
142,48.4,0.9348256763960144,1.5047237216015958,0.6370302525557825,0.475646239176331,1.3422760056158631,1.917017145003472,1.97184028593241
143,48.6,0.9354440308298674,1.5098996465436598,0.6414202832167752,0.4795436515390725,1.3471283705176653,1.9302280780956598,1.9620488141042949
144,48.8,0.9360595357389733,1.515094069991366,0.6458411593777723,0.4834569161437372,1.3519728690302246,1.9435318346481423,1.9523262075807644
145,49.0,0.9366721892483977,1.520307257533001,0.6502932704510015,0.4873860449582681,1.356809486201454,1.9569295865203624,1.942671543399562
146,49.2,0.9372819894918915,1.5255394777467473,0.6547770121204424,0.4913310504343751,1.361638207394735,1.9704225244453664,1.9330839125700057
147,49.4,0.9378889346118976,1.5307910022715008,0.6592927864752433,0.4952919455182512,1.3664590182934229,1.9840118584312938,1.923562419772943
148,49.6,0.9384930227595559,1.5360621058795174,0.66384100214687,0.4992687436619532,1.3712719049058917,1.9976988181741022,1.9141061830672075
149,49.8,0.9390942520947091,1.5413530665504775,0.6684220744497025,0.503261458834821,1.3760768535704264,2.0114846534806623,1.9047143336029515
150,50.0,0.9396926207859083,1.5466641655471633,0.6730364255253081,0.5072701055351354,1.3808738509602398,2.025370634702922,1.8953860153414774
151,50.2,0.940288127010419,1.5519956874928074,0.677684484490517,0.5112946988020401,1.3856628840885485,2.0393580531835105,1.8861203847813648
152,50.4,0.9408807689542255,1.5573479204502485,0.6823666875894846,0.515335254227836,1.3904439403138977,2.0534482217133374,1.876916610690621
153,50.6,0.941470544812038,1.562721156003066,0.6870834783499727,0.5193917879707892,1.3952170073457866,2.0676424750018936,1.867773873844517
154,50.8,0.9420574527872967,1.5681156893380959,0.6918353077433993,0.5234643167676332,1.399982073249834,2.081942170158887,1.8586913667697569
155,51.0,0.9426414910921784,1.573531819330155,0.6966226343494631,0.527552857946751,1.404739126453444,2.096348687189649,1.8496682934938458
156,51.2,0.943222657947601,1.578969848629061,0.7014459245255055,0.531657429442081,1.4094881557519974,2.110863429504796,1.8407038692995106
157,51.4,0.9438009515832294,1.584430083747918,0.7063056525797864,0.5357780498063436,1.4142291503141693,2.1254878244416675,1.831797320485281
158,51.6,0.9443763702374811,1.589912835154351,0.7112023009502547,0.5399147382256748,1.4189620996884695,2.140223323802303,1.8229478841301772
159,51.8,0.9449489121575309,1.5954184173633013,0.716136360387671,0.5440675145338114,1.423686993809119,2.155071404404511,1.814154807864071
160,52.0,0.9455185755993168,1.6009471490325244,0.7211083301442028,0.5482363992271939,1.4284038230026368,2.1700335686494117,1.8054173496423132
161,52.2,0.9460853588275453,1.606499353059967,0.7261187181668479,0.5524214134798717,1.4331125779940108,2.1851113451035054,1.7967347775255322
162,52.4,0.9466492601156964,1.612075356684125,0.7311680412967873,0.5566225791594992,1.4378132499137337,2.2003062890985845,1.7881063694632895
163,52.6,0.9472102777460288,1.617675491586287,0.736256825473783,0.5608399188429685,1.4425058303042602,2.215619983346832,1.7795314130827913
164,52.8,0.9477684100095857,1.62330009399579,0.7413856059467547,0.5650734558329891,1.447190311127157,2.2310540385745075,1.771009205481342
165,53.0,0.9483236552061993,1.6289495047978715,0.7465549274902735,0.5693232141749973,1.4518666847703279,2.246610094173442,1.7625390530229892
166,53.2,0.9488760116444965,1.63462406964386,0.7517653446268586,0.5735892186739966,1.4565349440549693,2.2622898188700002,1.7541202711395973
167,53.4,0.9494254776419039,1.6403241390650365,0.7570174218564198,0.5778714949128381,1.4611950822436324,2.2780949114155375,1.7457521841348875
168,53.6,0.9499720515246525,1.6460500685884154,0.7623117338913734,0.5821700692697238,1.4658470930473126,2.294027101293938,1.737434124993323
169,53.8,0.9505157316277838,1.6518022188565835,0.7676488658995302,0.5864849689374025,1.4704909706338944,2.310088149452538,1.7291654351915247
170,54.0,0.9510565162951535,1.657580955749888,0.7730294137533223,0.5908162219418929,1.4751267096358707,2.3262798490521233,1.7209454645140594
171,54.2,0.9515944038794382,1.6633866505121182,0.7784539842865731,0.5951638571619966,1.4797543051585775,2.3426040262396293,1.7127735708723524
172,54.4,0.9521293927421387,1.6692196798799572,0.7839231955592192,0.5995279043498087,1.4843737527890692,2.3590625409447696,1.7046491201264882
173,54.6,0.9526614812535863,1.6750804262153929,0.7894376771293938,0.6039083941511305,1.4889850486046106,2.375657287698818,1.6965714859107346
174,54.8,0.9531906677929469,1.680969277641826,0.7949980703337152,0.6083053581265567,1.4935881891815475,2.392390196478078,1.6885400494620502
175,55.0,0.9537169507482269,1.6868866281840982,0.8006050285761667,0.6127188287733416,1.4981831716045737,2.4092632335732147,1.6805541994513717
176,55.2,0.9542403285162768,1.6928328779123851,0.8062592176256972,0.6171488395478648,1.5027699934762861,2.4262784024848223,1.6726133318177903
177,55.4,0.9547607995027975,1.698808433089836,0.8119613159226121,0.6215954248883999,1.5073486529266682,2.4434377448454487,1.6647168496057465
178,55.6,0.9552783621223436,1.7048137063247126,0.8177120148946633,0.6260586202389373,1.5119191486232626,2.460743341370805,1.6568641628045684
179,55.8,0.9557930147983301,1.7108491167262685,0.8235120192823138,0.6305384620730192,1.5164814797810093,2.478197312838585,1.649054688191122
180,56.0,0.9563047559630354,1.7169150900657564,0.8293620474747159,0.6350349879190347,1.5210356461730932,2.495801821099527,1.6412878491742993
181,56.2,0.9568135840576074,1.72301205894146,0.8352628318555597,0.6395482363855471,1.5255816481414537,2.513559070118177,1.6335630756424668
182,56.4,0.9573194975320674,1.7291404629489808,0.8412151191602081,0.644078247187889,1.5301194866081445,2.531471307047613,1.6258798038127649
183,56.6,0.9578224948453149,1.735300748855871,0.8472196708434689,0.6486250611748363,1.534649163086329,2.549540823336186,1.618237476083204
184,56.8,0.9583225744651332,1.7414933707818971,0.8532772634595026,0.6531887203566136,1.539170679692161,2.567769955870776,1.610635540886408
185,57.0,0.958819734868193,1.7477187903846076,0.8593886890538007,0.6577692679336826,1.5436840391569544,2.586161088156376,1.6030734525454358
186,57.2,0.9593139745400575,1.7539774770498897,0.8655547555672006,0.6623667483257905,1.5481892448392065,2.6047166515318914,1.5955506711320429
187,57.4,0.9598052919751869,1.7602699080886908,0.8717762872533571,0.6669812072023655,1.5526863007374159,2.623439126426441,1.5880666623264095
